target_id,x,y,weight,cell_count,local_risk,service_time
21,158.0,18.0,2.96964,1,0.106606,1.0
297,51.5622,297.0,2.95901,2,0.031274,1.0
341,135.0,347.3021,2.95553,2,0.216179,1.0
224,52.0,207.0,2.89911,1,0.094033,1.0
101,33.7214,87.0,2.89404,2,0.122622,1.0
10,183.0,10.0,2.88054,1,0.008811,1.0
178,178.0,161.0,2.87602,1,0.062324,1.0
31,154.0,25.0,2.85808,1,0.215439,1.0
176,95.0,160.0,2.81069,1,0.054881,1.0
45,115.0,37.0,2.78577,1,0.126561,1.0
84,177.0,69.0,2.76515,1,0.125222,1.0
235,210.0,224.0,2.7643,1,0.321411,1.0
56,177.0,45.0,2.76376,1,0.16544,1.0
373,148.0,376.0,2.75834,1,0.213851,1.0
199,21.0,185.0,2.74925,1,0.164907,1.0
156,133.0,144.0,2.74135,1,0.00103,1.0
247,177.0,232.0,2.6889,1,0.148986,1.0
97,189.6663,83.0,2.6819,2,0.033646,1.0
6,212.4119,7.0,2.67732,2,0.021827,1.0
38,137.0,32.0,2.65054,1,0.316913,1.0
86,54.0,70.0,2.6217,1,0.465051,1.0
98,195.6825,83.0,2.62121,2,0.036334,1.0
114,183.0,93.0,2.60531,1,0.046586,1.0
250,54.0,234.0,2.6012,1,0.056494,1.0
2,206.0,5.0,2.5784,1,0.02067,1.0
17,69.0,16.0,2.55275,1,0.091334,1.0
317,173.0,321.0,2.51152,1,0.144584,1.0
144,59.0,132.0,2.49953,1,0.03168,1.0
261,165.0,249.0,2.48893,1,0.034197,1.0
9,142.0,10.0,2.46377,1,0.045614,1.0
226,211.653,208.0,2.45763,2,0.480178,1.0
13,128.0,14.0,2.45034,1,0.040977,1.0
290,110.0,289.0,2.43596,1,0.017041,1.0
